Title,Date,"Community (city,town, ward)",LGA,State,Total Deaths,Boko Haram (P),State Actor (P),Sectarian Actor (excluding BH) (P),Other Armed Actor (P),Kidnapper (P),Robber (P),Other (P),Election-related Actor (P),Cameroon State Actor (P),Boko Haram (V),State Actor (V),Sectarian Actor (V),Other Armed Actor (V),Political Actor (V),Kidnapper (V),Kidnapee (V),Robber (V),Journalist (V),Civilian (V),Election-related Actor (V),Cameroon State Actor,Bomb,Gun,Machete,Suicide Bombing,Other Weapon,TK,Drinking Establishment,Goverment Building,Church,Mosque,Bank,School,Other Location,Notes,Sources 1,Sources 2,Sources 3,Latitude,Longitude,full place name,country
Army Barracks Attack Ahead of Goodluck Jonathan's Inauguration,5/29/2011,Bauchi,Bauchi,Bauchi,20,Boko Haram,,,,,,,,,,10,,,,,,,,10,,,Bomb,,,,,,Drinking Establishment,Government Building,,,,,,,http://allafrica.com/stories/201105310776.html,http://www.reuters.com/article/2011/05/30/us-nigeria-explosion-idUSTRE74S2O220110530,http://www.vanguardngr.com/2011/06/boko-haram-claims-responsibility-for-bomb-blasts-in-bauchi-maiduguri/,#ERROR!,#ERROR!,"Bauchi, Bauchi, Nigeria",Nigeria
Kaduna,5/29/2011,Federal Capital Territory,Zaria,Kaduna,6,Boko Haram,,,,,,,,,,,,,,,,,,6,,,Bomb,,,,,,Drinking Establishment,,,,,,,,http://weeklytrust.com.ng/?option=com_content&view=article&id=6234:inauguration-day-blastshow-bombs-affected-our-lives-by-victims&catid=40:cover-stories&Itemid=26,http://allafrica.com/stories/201105311096.html,http://allafrica.com/stories/201105310901.html,#ERROR!,#ERROR!,"Zaria, Kaduna, Nigeria",Nigeria
Morning Attack in Zaria,5/30/2011,"Iyan Juma,  Zaria City",Zaria,Kaduna,2,Boko Haram,,,,,,,,,,,,,,,,,,2,,,Bomb,,,,,,,,,,,,Other,,http://weeklytrust.com.ng/?option=com_content&view=article&id=6234:inauguration-day-blastshow-bombs-affected-our-lives-by-victims&catid=40:cover-,http://weeklytrust.com.ng/?option=com_content&view=article&id=6234:inauguration-day-blastshow-bombs-affected-our-lives-by-victims&catid=40:cover-,http://weeklytrust.com.ng/?option=com_content&view=article&id=6234:inauguration-day-blastshow-bombs-affected-our-lives-by-victims&catid=40:cover,#ERROR!,#ERROR!,"Zaria, Kaduna, Nigeria",Nigeria
Shehu of Borno's Brother Killed,5/30/2011,"Gangamar, Shehuri North Ward",Maiduguri,Borno,1,Boko Haram,,,,,,,,,,,,,1,,,,,,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://www.google.com/hostednews/afp/article/ALeqM5hNH3PeuSoi8U8ygkRJsPT1Bzrz7Q?docId=CNG.836b5e3d9530f1a41a32f2a2dc8f9d11.511,http://allafrica.com/stories/201106010765.html,,#ERROR!,#ERROR!,"Maiduguri, Borno, Nigeria",Nigeria
Attempted Attack on Government Vaccine Warehouse,6/2/2011,Unguwan Doki,Maiduguri,Borno,0,Boko Haram,,,,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,Government Building,,,,,,,http://dailytimes.com.ng/article/boko-haram-sets-npi-borno-office-ablaze,http://allafrica.com/stories/201106030574.html,http://www.google.com/hostednews/afp/article/ALeqM5ira2PcpZcOPolETfm6OucXhrnMjg?docId=CNG.10e99239f49dff34cf3398bdc730cb91.01,,,"Maiduguri, Borno, Nigeria",Nigeria
Militants Kill Muslim Cleric Ibrahim Burkuti,6/6/2011,Biu,Biu,Borno,1,Boko Haram,,,,,,,,,,,1,,,,,,,,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://www.bbc.co.uk/news/world-africa-13724349,http://www.iol.co.za/news/africa/radical-cleric-gunned-down-in-nigeria-1.1079878,"BBC, AFP",,,"Biu, Borno, Nigeria",Nigeria
Bomb Blasts Outside St. Patrick's Catholic Church,6/7/2011,Maiduguri,Maiduguri,Borno,5,Boko Haram,,,,,,,,,,,,,,,,,,5,,,Bomb,,,,,,,,Church,,,,,,http://allafrica.com/stories/201106080424.html,http://www.vanguardngr.com/2011/06/carnage-they-wrote-a-catalogue-of-attacks-by-boko-haram/,http://news.xinhuanet.com/english2010/world/2011-06/08/c_13915959.htm,,,"Maiduguri, Borno, Nigeria",Nigeria
Bombing of Kano Motor Park,6/7/2011,Kano Motor Park,Maiduguri,Borno,0,Boko Haram,,,,,,,,,,,,,,,,,,0,,,Bomb,,,,,,,,,,,,Other,,http://allafrica.com/stories/201106080755.html,http://www.panapress.com/11-killed-in-multiple-bombings-in-Nigerian-city--12-777249-30-lang2-index.html,,,,"Maiduguri, Borno, Nigeria",Nigeria
David Usman and  Shot Dead,6/7/2011,Maiduguri,Maiduguri,Borno,2,Boko Haram,,,,,,,,,,,2,,,,,,,,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://allafrica.com/stories/201106100373.html,http://www.bbc.co.uk/news/world-africa-13724349,,,,"Maiduguri, Borno, Nigeria",Nigeria
"Explosion, Firefight at Gwange Police Station",6/7/2011,"Gwange Police Station, Maiduguri",Maiduguri,Borno,3,Boko Haram,State Actor,,,,,,,,3,,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://www.google.com/hostednews/afp/article/ALeqM5hofvKayKKAFFtiX9-Ic5bG2ptVmg?docId=CNG.fafcacea0287fbeab90256732f165e1e.771,http://news.xinhuanet.com/english2010/world/2011-06/08/c_13915959.htm,,,,"Maiduguri, Borno, Nigeria",Nigeria
Explosions at Dandal Police Station,6/7/2011,"Dandal Police Station, Maiduguri",Maiduguri,Borno,0,Boko Haram,,,,,,,,,,0,,,,,,,,,,,Bomb,,,,,,,Government Building,,,,,,,http://news.xinhuanet.com/english2010/world/2011-06/08/c_13915959.htm,http://www.google.com/hostednews/afp/article/ALeqM5hofvKayKKAFFtiX9-Ic5bG2ptVmg?docId=CNG.fafcacea0287fbeab90256732f165e1e.771,,,,"Maiduguri, Borno, Nigeria",Nigeria
Attack on Church in Damboa,6/16/2011,Damboa,Damboa,Borno,4,Boko Haram,,,,,,,,,,,,,,,,,,4,,,Bomb,,,,,,,,Church,,,,,,http://234next.com/csp/cms/sites/Next/News/Metro/Politics/5717053-147/explosion_kills_four_children_in_borno.csp,http://allafrica.com/stories/201106170218.html,,,,"Damboa, Borno, Nigeria",Nigeria
Attack on Nigeria's Police HQ,6/16/2011,"Police HQ, Louis Edet House",Abuja Municipal Area Council (AMAC),Federal Capital Territory,2,Boko Haram,,,,,,,,,1,,,,,,,,,1,,,Bomb,,,,,Targeted Killing,,Government Building,,,,,,,http://dailytrust.com.ng/index.php?option=com_content&view=article&id=21286:8-killed-in-force-hqtrs-blasts&catid=2:lead-stories&Itemid=8,http://www.telegraph.co.uk/news/worldnews/africaandindianocean/nigeria/8580438/Al-Qaeda-linked-suicide-bomber-targets-Nigeria-police-station.html,,#ERROR!,#ERROR!,"Abuja Municipal Area Council (AMAC), Federal Capital Territory, Nigeria",Nigeria
Bank Assault in Katsina,6/20/2011,Katsina,Kankara,Katsina,already counted,,,,,,,,,,,,,,,,,,,,,,Bomb,Gun,,,,,,,,,,,,,http://allafrica.com/stories/201106210508.html,http://www.bbc.co.uk/news/world-africa-13861739,,,,"Kankara, Katsina, Nigeria",Nigeria
Gunmen Kill Police Officer in Maiduguri,6/20/2011,"Lawan Bukar Ward, Maiduguri",Maiduguri,Borno,1,Boko Haram,,,,,,,,,,1,,,,,,,,,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://abcnews.go.com/International/wireStory?id=13892080,http://allafrica.com/stories/201106240890.html,,,,"Maiduguri, Borno, Nigeria",Nigeria
Militants Attack Police Station in Katsina,6/20/2011,Katsina,Kankara,Katsina,already counted,Boko Haram,,,,,,,,,,7,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201106210508.html,http://www.bbc.co.uk/news/world-africa-13861739,,,,"Kankara, Katsina, Nigeria",Nigeria
Miltants Fire on Civilians in Maiduguri,6/20/2011,"Gomari Bus Stop Road, Maiduguri",Maiduguri,Borno,2,Boko Haram,,,,,,,,,,,,,,,,,,2,,,,Gun,,,,,Drinking Establishment,,,,,,,,http://234next.com/csp/cms/sites/Next/News/5719549-147/death_toll_in_boko_haram_attack.csp,http://allafrica.com/stories/201106201962.html,,,,"Maiduguri, Borno, Nigeria",Nigeria
"Suspected Militants Carry Out Sophisticated Attack on Bank, Police Station in Kankara",6/21/2011,Kankara Town,Kankara,Katsina,7,Boko Haram,,,,,,,,,,7,,,,,,,,,,,Bomb,Gun,,,,Targeted Killing,,Government Building,,,Bank,,,,http://allafrica.com/stories/201106210508.html,http://allafrica.com/stories/201106210854.html,,,,"Kankara, Katsina, Nigeria",Nigeria
Suspected Pirates Ambush Police Officers in Bayelsa,6/21/2011,,Yenegoa,Bayelsa,2,,,Sectarian Actor,,,,,,,,2,,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.vanguardngr.com/2011/06/2-policemen-killed-in-renewed-pirates-attack-in-bayelsa/,http://allafrica.com/stories/201106231172.html,http://allafrica.com/stories/201106220597.html,#ERROR!,#ERROR!,"Yenegoa, Bayelsa, Nigeria",Nigeria
Bomb Explosion at Maiduguri Beer Parlor,6/26/2011,Dalla,Maiduguri,Borno,25,Boko Haram,,,,,,,,,,,,,,,,,,25,,,Bomb,,,,,,Drinking Establishment,,,,,,,,http://taipeitimes.com/News/world/archives/2011/06/28/2003506913,http://234next.com/csp/cms/sites/Next/News/Metro/Politics/5723401-146/boko_haram_strikes_in_maiduguri_again.csp,http://online.wsj.com/article/SB10001424052702303627104576413954141322660.html,,,"Maiduguri, Borno, Nigeria",Nigeria
Bomb Attack at Maiduguri Custom House,6/27/2011,"Custom House, Dikwa Road, Maiduguri",Maiduguri,Borno,5,Boko Haram,,,,,,,,,,0,,,,,,,,5,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://www.google.com/hostednews/afp/article/ALeqM5hZ1wV5rHBRwx_5UjUfMS8rsCeyZA?docId=CNG.31a8698f09fce8769b7bba2c176f5d17.621,http://www.boston.com/news/world/africa/articles/2011/06/28/3_die_in_attack_on_nigerian_customs_office/,,,,"Maiduguri, Borno, Nigeria",Nigeria
Attack on Beer Bar in Maiduguri,7/3/2011,Mammy Market,Maiduguri,Borno,10,Boko Haram,,,,,,,,,,5,,,,,,,,5,,,Bomb,Gun,,,,,Drinking Establishment,Government Building,,,,,,,http://allafrica.com/stories/201107041536.html,http://www.trust.org/alertnet/news/blast-kills-five-at-northeast-nigeria-bar,,,,"Maiduguri, Borno, Nigeria",Nigeria
Mustafa BArmed Actorsle Assassinated in Maiduguri,7/3/2011,Maiduguri,Maiduguri,Borno,1,Boko Haram,,,,,,,,,,1,,,,,,,,,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://allafrica.com/stories/201107041536.html,http://www.vanguardngr.com/2011/07/boko-haram-kills-lg-boss-4-others-in-borno/,,,,"Maiduguri, Borno, Nigeria",Nigeria
Suspected Militants Kill Four and Steal N21.5 Million in Biu,7/4/2011,Biu,Biu,Borno,4,Boko Haram,,,,,,,,,,,,,,,,,,4,,,,Gun,,,,,,Government Building,,,,,,,http://dailytrust.com.ng/index.php?option=com_content&view=article&id=22369:robbers-kill-four-snatch-local-govt-salary-in-borno&catid=1:news&Itemid=2,http://allafrica.com/stories/201107050865.html,,,,"Biu, Borno, Nigeria",Nigeria
Toro Police Station Attack,7/5/2011,Toro,Toro,Bauchi,0,Boko Haram,,,,,,,,,,0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://234next.com/csp/cms/sites/Next/Home/5727946-146/story.csp,http://allafrica.com/stories/201107070671.html,,,,"Toro, Bauchi, Nigeria",Nigeria
Boko Haram Attacks Military Patrol in Maiduguri,7/6/2011,"Abbaganaram Road, Maiduguri",Maiduguri,Borno,0,Boko Haram,,,,,,,,,,0,,,,,,,,,,,Bomb,,,,,,,,,,,,Other,,http://allafrica.com/stories/201107070245.html,http://www.bbc.co.uk/news/world-africa-14044478,,,,"Maiduguri, Borno, Nigeria",Nigeria
Customs Officer Killed,7/6/2011,"Gwange Ward, Maiduguri",Maiduguri,Borno,1,Boko Haram,,,,,,,,,,1,,,,,,,,,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://allafrica.com/stories/201107071059.html,http://thenewsafrica.com/2011/07/11/chasing-shadows-over-boko-haram/,,,,"Maiduguri, Borno, Nigeria",Nigeria
Militants Kill Detective,7/6/2011,"Gwange Ward, Maiduguri",Maiduguri,Borno,1,Boko Haram,,,,,,,,,,1,,,,,,,,,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://allafrica.com/stories/201107071059.html,http://thenewsafrica.com/2011/07/11/chasing-shadows-over-boko-haram/,,,,"Maiduguri, Borno, Nigeria",Nigeria
Militants Target Police Officer,7/6/2011,"Gwange Ward, Maiduguri",Maiduguri,Borno,1,Boko Haram,,,,,,,,,,3,,,,,,,,3,,,,Gun,,,,Targeted Killing,,,,,,,Other,,http://allafrica.com/stories/201107071059.html,http://thenewsafrica.com/2011/07/11/chasing-shadows-over-boko-haram/,,,,"Maiduguri, Borno, Nigeria",Nigeria
Police Brutality After Bomb Blasts in Maiduguri,7/9/2011,"Kaleri Ngomari Custain, Maiduguri",Maiduguri,Borno,41,,State Actor,,,,,,,,10,,,,,,,,,31,,,,Gun,,,,,,,,,,,Other,,http://www.upi.com/Top_News/World-News/2011/07/10/30-said-killed-in-clashes-in-Nigeria/UPI-38701310346334/,http://allafrica.com/stories/201107141293.html,,,,"Maiduguri, Borno, Nigeria",Nigeria
